Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,10.030000,10.080000,10.010000,10.070000,10.070000,762500
2020-11-03,10.090000,10.090000,10.010000,10.090000,10.090000,1072100
2020-11-04,10.080000,10.090000,10.060000,10.090000,10.090000,1266800
2020-11-05,10.080000,10.120000,10.080000,10.110000,10.110000,1705200
2020-11-06,10.060000,10.290000,10.060000,10.250000,10.250000,4239500
2020-11-09,10.150000,10.170000,10.100000,10.160000,10.160000,2485000
2020-11-10,10.160000,10.270000,10.085000,10.210000,10.210000,3451200
2020-11-11,10.100000,10.430000,10.090000,10.430000,10.430000,1078200
2020-11-12,10.440000,10.580000,10.290000,10.520000,10.520000,754500
2020-11-13,10.600000,11.000000,10.420000,10.820000,10.820000,728400
2020-11-16,11.000000,11.010000,10.680000,10.680000,10.680000,686100
2020-11-17,10.500000,10.850000,10.325000,10.590000,10.590000,523600
2020-11-18,11.300000,12.500000,11.260000,12.140000,12.140000,2869500
2020-11-19,12.560000,13.470000,12.290000,12.600000,12.600000,1897800
2020-11-20,12.980000,14.460000,12.924000,14.070000,14.070000,2062100
2020-11-23,14.650000,16.110001,14.355000,15.450000,15.450000,2146600
2020-11-24,16.090000,16.280001,13.650000,14.130000,14.130000,2280300
2020-11-25,14.500000,15.830000,14.300000,15.000000,15.000000,2068200
2020-11-27,15.840000,15.980000,14.717000,14.990000,14.990000,1367400
2020-11-30,15.150000,15.428000,13.820000,15.070000,15.070000,1145300
2020-12-01,14.970000,15.230000,13.260000,13.770000,13.770000,1724700
2020-12-02,13.626000,14.500000,12.825000,13.810000,13.810000,981100
2020-12-03,13.870000,15.000000,13.550000,14.450000,14.450000,889600
2020-12-04,15.020000,15.110000,13.650000,14.560000,14.560000,994200
2020-12-07,14.980000,15.550000,14.700000,15.350000,15.350000,1132500
2020-12-08,14.890000,15.130000,13.860000,14.430000,14.430000,1204900
2020-12-09,15.180000,16.240000,14.110000,14.660000,14.660000,1283200
2020-12-10,14.970000,15.470000,14.440000,15.400000,15.400000,757600
2020-12-11,15.060000,15.300000,14.450000,14.650000,14.650000,725100
2020-12-14,14.650000,14.960000,14.020000,14.630000,14.630000,460400
2020-12-15,14.550000,15.000000,14.330000,14.780000,14.780000,630300
2020-12-16,14.630000,15.130000,14.420000,14.620000,14.620000,802000
2020-12-17,14.410000,14.724000,14.150000,14.560000,14.560000,718800
2020-12-18,14.560000,14.730000,13.910000,14.560000,14.560000,858200
2020-12-21,14.050000,15.250000,14.020000,15.110000,15.110000,1083000
2020-12-22,16.200001,16.200001,15.290000,16.000000,16.000000,1853500
2020-12-23,15.750000,23.500000,15.660000,23.129999,23.129999,4930200
2020-12-24,21.170000,21.844999,18.700001,19.230000,19.230000,1751100
2020-12-28,20.170000,23.150000,20.170000,22.469999,22.469999,2581900
2020-12-29,22.040001,23.995001,19.500000,23.740000,23.740000,2018400
2020-12-30,23.170000,25.799999,22.090000,23.150000,23.150000,4440500
2020-12-31,22.940001,23.790001,20.820000,20.840000,20.840000,1589700
2021-01-04,22.490000,24.200001,20.420000,23.900000,23.900000,2007700
2021-01-05,22.330000,23.639999,21.510000,23.090000,23.090000,1177000
2021-01-06,23.850000,26.277000,22.910000,23.129999,23.129999,1448900
2021-01-07,24.586000,26.900000,24.129999,26.559999,26.559999,1143800
2021-01-08,27.200001,31.030001,25.690001,28.830000,28.830000,1959600
2021-01-11,28.000000,31.764999,26.500000,30.219999,30.219999,1382400
2021-01-12,30.980000,31.680000,29.799999,30.440001,30.440001,841300
2021-01-13,31.840000,31.952000,28.100000,28.410000,28.410000,1156900
2021-01-14,28.570999,29.490000,22.280001,24.559999,24.559999,4886700
2021-01-15,24.100000,24.980000,21.100000,23.030001,23.030001,3132200
2021-01-19,24.000000,26.290001,23.500000,26.200001,26.200001,1578400
2021-01-20,25.250000,27.750000,25.080000,26.549999,26.549999,1208100
2021-01-21,26.290001,26.358999,24.600000,24.950001,24.950001,843500
2021-01-22,22.921000,24.520000,22.844000,23.480000,23.480000,1254500
2021-01-25,23.049999,23.150000,21.570000,21.900000,21.900000,1667700
2021-01-26,22.469999,24.340000,21.961000,23.110001,23.110001,1280200
2021-01-27,22.190001,23.719999,21.691000,22.570000,22.570000,907900
2021-01-28,22.580000,23.840000,22.500000,23.450001,23.450001,691200
