"","Date","Close","Volume","Ticker"
"1",2020-01-02,10.4,0,"ADV"
"2",2020-01-03,10.4,0,"ADV"
"3",2020-01-06,10.4,0,"ADV"
"4",2020-01-07,10.4,0,"ADV"
"5",2020-01-08,10.9,100,"ADV"
"6",2020-01-09,10.58,251000,"ADV"
"7",2020-01-10,10.59,5900,"ADV"
"8",2020-01-13,10.7,32600,"ADV"
"9",2020-01-14,10.7,11500,"ADV"
"10",2020-01-15,10.99,100,"ADV"
"11",2020-01-16,11,200,"ADV"
"12",2020-01-17,10.6,130300,"ADV"
"13",2020-01-21,10.75,26100,"ADV"
"14",2020-01-22,10.75,0,"ADV"
"15",2020-01-23,10.75,0,"ADV"
"16",2020-01-24,10.75,0,"ADV"
"17",2020-01-27,10.8,100,"ADV"
"18",2020-01-28,10.8,158400,"ADV"
"19",2020-01-29,10.8,0,"ADV"
"20",2020-01-30,10.8,0,"ADV"
"21",2020-01-31,10.8,0,"ADV"
"22",2020-02-03,10.8,0,"ADV"
"23",2020-02-04,10.8,0,"ADV"
"24",2020-02-05,10.775,25000,"ADV"
"25",2020-02-06,10.775,0,"ADV"
"26",2020-02-07,10.775,0,"ADV"
"27",2020-02-10,10.775,0,"ADV"
"28",2020-02-11,10.775,0,"ADV"
"29",2020-02-12,10.8,1100,"ADV"
"30",2020-02-13,10.7,1000,"ADV"
"31",2020-02-14,10.7,0,"ADV"
"32",2020-02-18,10.8,407600,"ADV"
"33",2020-02-19,10.9,200,"ADV"
"34",2020-02-20,10.87,500,"ADV"
"35",2020-02-21,10.8,2400,"ADV"
"36",2020-02-24,11,50700,"ADV"
"37",2020-02-25,10.95,221900,"ADV"
"38",2020-02-26,10.95,152800,"ADV"
"39",2020-02-27,11.18,800,"ADV"
"40",2020-02-28,11.18,0,"ADV"
"41",2020-03-02,11.09,118100,"ADV"
"42",2020-03-03,11.09,0,"ADV"
"43",2020-03-04,11.1,800,"ADV"
"44",2020-03-05,11.1,0,"ADV"
"45",2020-03-06,11.1,0,"ADV"
"46",2020-03-09,11.16,200,"ADV"
"47",2020-03-10,11.16,0,"ADV"
"48",2020-03-11,11.16,0,"ADV"
"49",2020-03-12,11,200,"ADV"
"50",2020-03-13,11,200,"ADV"
"51",2020-03-16,10.68,12500,"ADV"
"52",2020-03-17,10.415,900,"ADV"
"53",2020-03-18,10.415,0,"ADV"
"54",2020-03-19,10.415,0,"ADV"
"55",2020-03-20,10.415,0,"ADV"
"56",2020-03-23,10,242200,"ADV"
"57",2020-03-24,10,0,"ADV"
"58",2020-03-25,10,0,"ADV"
"59",2020-03-26,10,0,"ADV"
"60",2020-03-27,10,0,"ADV"
"61",2020-03-30,10,0,"ADV"
"62",2020-03-31,9.9,375500,"ADV"
"63",2020-04-01,9.9,0,"ADV"
"64",2020-04-02,9.9,0,"ADV"
"65",2020-04-03,9.9,0,"ADV"
"66",2020-04-06,9.9,0,"ADV"
"67",2020-04-07,9.96,100,"ADV"
"68",2020-04-08,9.96,0,"ADV"
"69",2020-04-09,9.96,0,"ADV"
"70",2020-04-13,9.96,0,"ADV"
"71",2020-04-14,9.98,1000,"ADV"
"72",2020-04-15,9.98,0,"ADV"
"73",2020-04-16,9.98,0,"ADV"
"74",2020-04-17,9.98,0,"ADV"
"75",2020-04-20,10.15,25000,"ADV"
"76",2020-04-21,10.22,1e+05,"ADV"
"77",2020-04-22,10.22,0,"ADV"
"78",2020-04-23,10.22,0,"ADV"
"79",2020-04-24,10.25,1e+05,"ADV"
"80",2020-04-27,10.25,0,"ADV"
"81",2020-04-28,10.513,200,"ADV"
"82",2020-04-29,10.513,0,"ADV"
"83",2020-04-30,10.65,5000,"ADV"
"84",2020-05-01,10.4,100,"ADV"
"85",2020-05-04,10.45,75100,"ADV"
"86",2020-05-05,10.45,0,"ADV"
"87",2020-05-06,10.45,100,"ADV"
"88",2020-05-07,10.3,1426900,"ADV"
"89",2020-05-08,10.35,450000,"ADV"
"90",2020-05-11,10.35,0,"ADV"
"91",2020-05-12,10.6,66000,"ADV"
"92",2020-05-13,10.8,42400,"ADV"
"93",2020-05-14,10.65,400,"ADV"
"94",2020-05-15,10.65,0,"ADV"
"95",2020-05-18,10.6,300,"ADV"
"96",2020-05-19,10.35,100,"ADV"
"97",2020-05-20,10.6,26900,"ADV"
"98",2020-05-21,10.6,200,"ADV"
"99",2020-05-22,10.6,300,"ADV"
"100",2020-05-26,10.6,0,"ADV"
"101",2020-05-27,10.59,1313400,"ADV"
"102",2020-05-28,10.51,28800,"ADV"
"103",2020-05-29,10.78,3700,"ADV"
"104",2020-06-01,10.84,428100,"ADV"
"105",2020-06-02,10.85,9500,"ADV"
"106",2020-06-03,10.85,0,"ADV"
"107",2020-06-04,10.6,5800,"ADV"
"108",2020-06-05,10.85,180900,"ADV"
"109",2020-06-08,10.74,48600,"ADV"
"110",2020-06-09,11.15,200600,"ADV"
"111",2020-06-10,11.165,379500,"ADV"
"112",2020-06-11,11.23,700,"ADV"
"113",2020-06-12,11.12,100600,"ADV"
"114",2020-06-15,11.34,138800,"ADV"
"115",2020-06-16,11.26,101100,"ADV"
"116",2020-06-17,11.26,0,"ADV"
"117",2020-06-18,11.07,14400,"ADV"
"118",2020-06-19,11.1,5700,"ADV"
"119",2020-06-22,11.1,11400,"ADV"
"120",2020-06-23,11.08,57000,"ADV"
"121",2020-06-24,11,300,"ADV"
"122",2020-06-25,11.15,53300,"ADV"
"123",2020-06-26,11.1,6100,"ADV"
"124",2020-06-29,11.05,79700,"ADV"
"125",2020-06-30,11.05,28500,"ADV"
"126",2020-07-01,11.15,133000,"ADV"
"127",2020-07-02,11.3,150500,"ADV"
"128",2020-07-06,11.99,109500,"ADV"
"129",2020-07-07,11.295,431700,"ADV"
"130",2020-07-08,11.28,77700,"ADV"
"131",2020-07-09,11.35,14000,"ADV"
"132",2020-07-10,11.3,69500,"ADV"
"133",2020-07-13,11.37,40600,"ADV"
"134",2020-07-14,11.25,19000,"ADV"
"135",2020-07-15,11.2,108400,"ADV"
"136",2020-07-16,11.3,65100,"ADV"
"137",2020-07-17,11.35,9000,"ADV"
"138",2020-07-20,11.51,7200,"ADV"
"139",2020-07-21,11.6,1900,"ADV"
"140",2020-07-22,11.4,34400,"ADV"
"141",2020-07-23,11.35,29900,"ADV"
"142",2020-07-24,11.26,3300,"ADV"
"143",2020-07-27,11.31,7400,"ADV"
"144",2020-07-28,11.28,2400,"ADV"
"145",2020-07-29,11.08,67700,"ADV"
"146",2020-07-30,11.15,64500,"ADV"
"147",2020-07-31,11,86000,"ADV"
"148",2020-08-03,10.96,4900,"ADV"
"149",2020-08-04,10.97,1500,"ADV"
"150",2020-08-05,10.99,2400,"ADV"
"151",2020-08-06,10.85,3000,"ADV"
"152",2020-08-07,10.85,11500,"ADV"
"153",2020-08-10,10.72,9100,"ADV"
"154",2020-08-11,10.8,9300,"ADV"
"155",2020-08-12,10.84,2600,"ADV"
"156",2020-08-13,10.775,45700,"ADV"
"157",2020-08-14,10.57,9400,"ADV"
"158",2020-08-17,10.61,58700,"ADV"
"159",2020-08-18,10.69,1100,"ADV"
"160",2020-08-19,10.71,54600,"ADV"
"161",2020-08-20,10.65,7600,"ADV"
"162",2020-08-21,10.876,12200,"ADV"
"163",2020-08-24,10.71,2300,"ADV"
"164",2020-08-25,10.73,8800,"ADV"
"165",2020-08-26,10.725,19100,"ADV"
"166",2020-08-27,10.7,15000,"ADV"
"167",2020-08-28,10.53,76400,"ADV"
"168",2020-08-31,10.6,84300,"ADV"
"169",2020-09-01,10.7,94000,"ADV"
"170",2020-09-02,10.84,58500,"ADV"
"171",2020-09-03,10.9,12600,"ADV"
"172",2020-09-04,10.88,52600,"ADV"
"173",2020-09-08,10.42,6256300,"ADV"
"174",2020-09-09,10.42,826000,"ADV"
"175",2020-09-10,10.38,678200,"ADV"
"176",2020-09-11,10.25,489400,"ADV"
"177",2020-09-14,10.21,564700,"ADV"
"178",2020-09-15,10.24,1824500,"ADV"
"179",2020-09-16,10.25,167200,"ADV"
"180",2020-09-17,10.211,11000,"ADV"
"181",2020-09-18,10.25,70000,"ADV"
"182",2020-09-21,10.22,139600,"ADV"
"183",2020-09-22,10.22,344100,"ADV"
